Date,Strategy
2017-06-27,1.3460444414804318
2017-06-28,1.3545517871093287
2017-06-29,1.3429982895113186
2017-06-30,1.3432140956522127
2017-07-03,1.3417248549616403
2017-07-05,1.3434683279091812
2017-07-06,1.3339176746104364
2017-07-07,1.336759616380675
2017-07-10,1.3397965613064524
2017-07-11,1.3422608907932185
2017-07-12,1.3531436226247857
2017-07-13,1.353170479267748
2017-07-14,1.359339167971156
2017-07-17,1.3596251414024731
2017-07-18,1.364130909679549
2017-07-19,1.3690963991264486
2017-07-20,1.37087912416352
2017-07-21,1.3710195814460397
2017-07-24,1.3704937703981237
2017-07-25,1.3669740507265709
2017-07-26,1.370440275794691
2017-07-27,1.3655936129631576
2017-07-28,1.3671613070535542
2017-07-31,1.3667973946670449
2017-08-01,1.3718774938527005
2017-08-02,1.3705151465867114
2017-08-03,1.37093688754073
2017-08-04,1.3698963441597984
2017-08-07,1.3725217602166442
2017-08-08,1.3677783575889608
2017-08-09,1.3663478323228246
2017-08-10,1.3538725442527093
2017-08-11,1.3560143857773166
2017-08-14,1.3632485142600759
2017-08-15,1.3610027774917934
2017-08-16,1.3658084739848526
2017-08-17,1.3554132123436464
2017-08-18,1.3562782842439394
2017-08-21,1.3575893449538698
2017-08-22,1.3643816942461073
2017-08-23,1.3662847898530917
2017-08-24,1.3643896778738653
2017-08-25,1.3685458679477196
